r, promedio
0.000000000000000000e+00,8.329966382275331149e-01
8.069985080699851321e-02,8.324116746497538522e-01
1.613997016139970264e-01,8.308390394064842921e-01
2.420995524209955119e-01,8.286472463303106162e-01
3.227994032279940528e-01,8.258086525318822924e-01
4.034992540349925383e-01,8.214566938227801929e-01
4.841991048419910237e-01,8.164587573913745233e-01
5.648989556489896202e-01,8.104719550628279867e-01
6.455988064559881057e-01,8.030125277701671838e-01
7.262986572629865911e-01,7.947354842099757510e-01
8.069985080699850766e-01,7.853687208082539284e-01
8.876983588769835620e-01,7.750203127105136369e-01
9.683982096839820475e-01,7.631830358405731207e-01
1.049098060490980533e+00,7.488367833467208801e-01
1.129797911297979240e+00,7.334064115242493465e-01
1.210497762104977726e+00,7.173055252705966556e-01
1.291197612911976211e+00,6.997081881106329559e-01
1.371897463718974697e+00,6.798432349467188329e-01
1.452597314525973182e+00,6.574220469602440886e-01
1.533297165332971890e+00,6.338223753468459343e-01
1.613997016139970153e+00,6.096828521234759490e-01
1.694696866946968639e+00,5.816549057690674207e-01
1.775396717753967124e+00,5.533374551866421243e-01
1.856096568560965610e+00,5.243483803304986868e-01
1.936796419367964095e+00,4.926161802941249612e-01
2.017496270174962802e+00,4.587948836546613118e-01
2.098196120981961066e+00,4.211850806002963576e-01
2.178895971788959773e+00,3.858517507487559950e-01
2.259595822595958481e+00,3.507002731798886108e-01
2.340295673402956744e+00,3.108698720909998103e-01
2.420995524209955452e+00,2.731581688837656507e-01
2.501695375016953715e+00,2.318031485280573900e-01
2.582395225823952423e+00,1.952326619215840608e-01
2.663095076630951130e+00,1.554213696795938016e-01
2.743794927437949394e+00,1.188470442320741643e-01
2.824494778244948101e+00,8.766287755820809102e-02
2.905194629051946364e+00,5.727687906589652711e-02
2.985894479858945072e+00,3.612195094417744445e-02
3.066594330665943779e+00,1.680028015293703880e-02
3.147294181472942043e+00,5.753486921191292014e-03
3.227994032279940306e+00,-2.025376878475445338e-03
3.308693883086938570e+00,-8.343654639838236908e-03
3.389393733893937277e+00,-9.835357870567280891e-03
3.470093584700935985e+00,-1.188140444861734459e-02
3.550793435507934248e+00,-1.170687791147249045e-02
3.631493286314932956e+00,-1.192396429567771539e-02
3.712193137121931219e+00,-1.058475303171059825e-02
3.792892987928929927e+00,-9.032652700038912644e-03
3.873592838735928190e+00,-8.084194956780732175e-03
3.954292689542926897e+00,-6.433866235380896088e-03
4.034992540349925605e+00,-5.165158641367534158e-03
4.115692391156924757e+00,-3.513960558343973920e-03
4.196392241963922132e+00,-2.793187565201432025e-03
4.277092092770921283e+00,-1.978248524725654579e-03
4.357791943577919547e+00,-1.493646364313753160e-03
4.438491794384917810e+00,-9.870524017459908397e-04
4.519191645191916962e+00,-1.347940611996732750e-03
4.599891495998914337e+00,-1.730016812372806847e-03
4.680591346805913489e+00,-2.237757739028310711e-03
4.761291197612911752e+00,-3.092851542430419352e-03
4.841991048419910904e+00,-3.838731757821589076e-03
4.922690899226909167e+00,-4.924227545012889624e-03
5.003390750033907430e+00,-5.722482779973757545e-03
5.084090600840905694e+00,-6.618596863462798685e-03
5.164790451647904845e+00,-7.398590281108727469e-03
5.245490302454903109e+00,-7.833993251072410291e-03
5.326190153261902260e+00,-8.431452666843093635e-03
5.406890004068899636e+00,-8.651538707291954455e-03
5.487589854875898787e+00,-8.951870771054472667e-03
5.568289705682897051e+00,-9.008813109788040702e-03
5.648989556489896202e+00,-8.894581097318473087e-03
5.729689407296894466e+00,-8.934907865448800043e-03
5.810389258103892729e+00,-8.770355705619709008e-03
5.891089108910890992e+00,-8.681191028614507893e-03
5.971788959717890144e+00,-8.563911397262166311e-03
6.052488810524888407e+00,-8.508314530088614824e-03
6.133188661331887559e+00,-8.356930867194134471e-03
6.213888512138884934e+00,-8.512916592251118519e-03
6.294588362945884086e+00,-8.497320827351545827e-03
6.375288213752882349e+00,-8.684076918660306454e-03
6.455988064559880613e+00,-8.756790095591234988e-03
6.536687915366879764e+00,-9.036931980615505247e-03
6.617387766173877139e+00,-9.395951290854055726e-03
6.698087616980876291e+00,-9.691852288348427533e-03
6.778787467787874554e+00,-1.007615754618862783e-02
6.859487318594873706e+00,-1.051295270913810836e-02
6.940187169401871969e+00,-1.100706071753683804e-02
7.020887020208870233e+00,-1.136426152276693788e-02
7.101586871015868496e+00,-1.189933026267468719e-02
7.182286721822867648e+00,-1.234828026929991537e-02
7.262986572629865911e+00,-1.272423059429900888e-02
