 ,Area,Mean,Min,Max,X,Y
1,0.000,91,91,91,15.686,10.310
2,0.000,62,62,62,15.657,10.310
3,0.000,64,64,64,15.619,10.299
4,0.000,92,92,92,15.590,10.282
5,0.000,55,55,55,15.550,10.265
6,0.000,54,54,54,15.510,10.250
7,0.000,61,61,61,15.490,10.235
8,0.000,70,70,70,15.479,10.231
9,0.000,54,54,54,15.457,10.219
10,0.000,51,51,51,15.440,10.203
11,0.000,64,64,64,15.410,10.186
12,0.000,69,69,69,15.383,10.175
13,0.000,86,86,86,15.354,10.162
14,0.000,72,72,72,15.322,10.150
15,0.000,32,32,32,15.301,10.140
16,0.000,45,45,45,15.271,10.125
17,0.000,47,47,47,15.257,10.118
18,0.000,72,72,72,15.236,10.114
19,0.000,51,51,51,15.208,10.103
20,0.000,21,21,21,15.186,10.095
21,0.000,42,42,42,15.151,10.084
22,0.000,38,38,38,15.145,10.082
23,0.000,35,35,35,15.127,10.077
24,0.000,29,29,29,15.079,10.062
25,0.000,30,30,30,15.064,10.058
26,0.000,36,36,36,15.034,10.051
27,0.000,42,42,42,14.981,10.032
28,0.000,33,33,33,14.951,10.029
29,0.000,37,37,37,14.932,10.025
30,0.000,19,19,19,14.918,10.018
31,0.000,25,25,25,14.910,10.018
32,0.000,32,32,32,14.877,9.999
33,0.000,20,20,20,14.810,9.992
34,0.000,19,19,19,14.766,9.977
35,0.000,18,18,18,14.736,9.958
36,0.000,24,24,24,14.688,9.944
37,0.000,25,25,25,14.651,9.929
38,0.000,25,25,25,14.632,9.925
39,0.000,21,21,21,14.595,9.918
40,0.000,18,18,18,14.551,9.906
41,0.000,26,26,26,14.503,9.888
42,0.000,51,51,51,14.462,9.888
43,0.000,48,48,48,14.384,9.884
44,0.000,58,58,58,14.347,9.884
45,0.000,37,37,37,14.292,9.877
46,0.000,28,28,28,14.255,9.877
47,0.000,37,37,37,14.210,9.869
48,0.000,37,37,37,14.184,9.862
49,0.000,53,53,53,14.140,9.855
50,0.000,52,52,52,14.099,9.855
51,0.000,34,34,34,14.032,9.847
52,0.000,50,50,50,13.973,9.847
53,0.000,17,17,17,13.936,9.840
54,0.000,19,19,19,13.906,9.832
55,0.000,17,17,17,13.829,9.832
56,0.000,34,34,34,13.777,9.829
57,0.000,41,41,41,13.755,9.829
58,0.000,66,66,66,13.677,9.818
59,0.000,49,49,49,13.625,9.818
60,0.000,45,45,45,13.584,9.818
61,0.000,65,65,65,13.544,9.829
62,0.000,48,48,48,13.521,9.829
63,0.000,47,47,47,13.466,9.818
64,0.000,53,53,53,13.425,9.821
65,0.000,35,35,35,13.395,9.821
66,0.000,39,39,39,13.373,9.821
67,0.000,48,48,48,13.351,9.825
68,0.000,55,55,55,13.332,9.825
69,0.000,45,45,45,13.299,9.829
70,0.000,48,48,48,13.262,9.829
71,0.000,55,55,55,13.232,9.829
72,0.000,50,50,50,13.200,9.828
73,0.000,56,56,56,13.169,9.833
74,0.000,55,55,55,13.158,9.833
75,0.000,61,61,61,13.142,9.833
76,0.000,66,66,66,13.117,9.839
77,0.000,59,59,59,13.108,9.839
78,0.000,71,71,71,13.081,9.839
79,0.000,65,65,65,13.039,9.839
80,0.000,71,71,71,13.019,9.842
81,0.000,41,41,41,12.997,9.839
82,0.000,38,38,38,12.969,9.839
83,0.000,48,48,48,12.953,9.844
84,0.000,41,41,41,12.939,9.844
85,0.000,55,55,55,12.922,9.844
86,0.000,46,46,46,12.914,9.844
87,0.000,53,53,53,12.883,9.853
88,0.000,53,53,53,12.847,9.853
89,0.000,68,68,68,12.825,9.861
90,0.000,36,36,36,12.811,9.864
91,0.000,26,26,26,12.789,9.864
92,0.000,16,16,16,12.761,9.869
93,0.000,46,46,46,12.722,9.883
94,0.000,64,64,64,12.703,9.886
95,0.000,84,84,84,12.664,9.897
96,0.000,74,74,74,12.628,9.897
97,0.000,80,80,80,12.592,9.917
98,0.000,56,56,56,12.569,9.922
99,0.000,58,58,58,12.550,9.931
100,0.000,54,54,54,12.525,9.931
101,0.000,64,64,64,12.489,9.950
102,0.000,77,77,77,12.467,9.956
